Exit Trade Id,ticker,size,entry_date,entry_price,Entry Fees,exit_date,exit_price,Exit Fees,pnl,return_pct,Direction,Status,Position Id,exit_reason
201,AXP,1.1443340709949452,2023-12-26,180.9170429534912,0.0,2024-04-17,214.745025495674,0.0,38.71051297604197,0.18698062929803155,Long,Closed,201,trailing_sma
186,GS,0.456247763028165,2023-12-27,363.01247357577626,0.0,2024-04-12,376.3715578502146,0.0,6.095052316317236,0.03680062049341603,Long,Closed,186,trailing_sma
212,PNC,1.787155454134401,2024-01-02,141.89910619944698,0.0,2024-02-01,140.94311915863554,0.0,-1.7084974540679525,-0.006737089939578177,Long,Closed,212,trailing_sma
400,VZ,6.039129239688611,2024-01-03,33.593685647861925,0.0,2024-03-06,34.83393957435097,0.0,7.490053752098618,0.03691925737145141,Long,Closed,400,trailing_sma
172,BAC,12.068315159689526,2024-01-05,32.0500169846785,0.0,2024-02-13,31.373832585330945,0.0,-8.160406437391657,-0.021097785990903062,Long,Closed,172,trailing_sma
151,AMGN,1.09885913592634,2024-01-08,281.5936588767135,0.0,2024-02-09,275.13486997452185,0.0,-7.097299192192963,-0.022936556625443864,Long,Closed,151,trailing_sma
11,NVDA,4.724584223184388,2024-01-09,52.39517384952764,0.0,2024-04-19,83.0615538294169,0.0,144.88589503516235,0.5852901656163838,Long,Closed,11,trailing_sma
157,GILD,2.5501513696952816,2024-01-09,77.6566958909771,0.0,2024-01-22,73.5801220703125,0.0,-10.395880312431757,-0.052494814180450544,Long,Closed,157,trailing_sma
273,CL,2.0768403110862597,2024-01-09,76.28370013245951,0.0,2024-04-10,83.37427425584232,0.0,14.725990168186513,0.09295005500612422,Long,Closed,273,trailing_sma
133,ABT,1.1704832705573815,2024-01-10,108.28283837903268,0.0,2024-03-18,110.90864118749901,0.0,3.0734582590924333,0.024249482630617682,Long,Closed,133,trailing_sma
93,AMAT,0.9500203041634537,2024-01-19,159.59248716118765,0.0,2024-04-17,202.4556721515093,0.0,40.72089604191976,0.26857896479193305,Long,Closed,93,trailing_sma
286,CAT,3.711414313485294,2024-01-25,285.8494518925272,0.0,2024-04-25,322.12805632050384,0.0,134.6449317472634,0.12691507430847387,Long,Closed,286,trailing_sma
139,MDT,14.889151305554554,2024-01-29,80.28353398253188,0.0,2024-02-13,78.59549560815569,0.0,-25.133458765669502,-0.021025960002501613,Long,Closed,139,trailing_sma
20,GOOGL,9.902596040493655,2024-01-29,150.88892850956867,0.0,2024-01-31,140.07150207519533,0.0,-107.12060417735688,-0.07169131984184879,Long,Closed,20,signal_exit_other
136,DHR,3.96646915877703,2024-01-30,241.09173916866817,0.0,2024-04-02,242.05136817821577,0.0,3.806338870238278,0.003980347949110921,Long,Closed,136,trailing_sma
250,GM,27.91013256986567,2024-01-31,37.34989993460047,0.0,2024-05-22,43.69293352764839,0.0,177.03490847707894,0.16982732495012173,Long,Closed,250,trailing_sma
123,ABBV,6.889077319320385,2024-02-05,158.63102161698149,0.0,2024-04-04,165.75974700406266,0.0,49.110340379804256,0.04493903723506014,Long,Closed,123,trailing_sma
128,MRK,8.276819663938861,2024-02-06,117.96621467137214,0.0,2024-03-12,114.48813612438589,0.0,-28.787428910419635,-0.029483683584112644,Long,Closed,128,trailing_sma
386,DIS,7.438431762042197,2024-02-08,105.00977802927454,0.0,2024-04-17,111.68425603880007,0.0,49.6476492211068,0.06356053821640127,Long,Closed,386,trailing_sma
363,ECL,4.762039093490007,2024-02-13,208.96998811325133,0.0,2024-04-15,218.1231969146923,0.0,43.58793814333876,0.043801547217777494,Long,Closed,363,trailing_sma
244,TGT,5.718659532756903,2024-02-20,139.21070097792054,0.0,2024-04-26,153.11779808967157,0.0,79.52995347109095,0.09989962706930659,Long,Closed,244,trailing_sma
181,WFC,38.097162457652054,2024-03-05,53.25922159470112,0.0,2024-05-29,56.54718195153731,0.0,125.26195986870812,0.06173504340445188,Long,Closed,181,trailing_sma
173,BAC,49.27765194952975,2024-03-11,33.79409206181604,0.0,2024-04-16,34.43761822825199,0.0,31.711458450046166,0.019042564163547274,Long,Closed,173,trailing_sma
355,LIN,2.3132555791211717,2024-03-11,460.73069220104367,0.0,2024-04-12,438.4803963276875,0.0,-51.47062106613794,-0.0482934960704703,Long,Closed,355,trailing_sma
267,WMT,22.682530334576807,2024-03-11,58.733958936988465,0.0,2024-04-18,58.61059861752187,0.0,-2.7981241883840084,-0.0021003235896108145,Long,Closed,267,trailing_sma
240,LOW,4.430631293285502,2024-03-13,235.21474427738843,0.0,2024-04-11,229.93832451582642,0.0,-23.3778705120867,-0.02243235124469724,Long,Closed,240,trailing_sma
69,ORCL,6.712342303834877,2024-03-18,124.20699177300844,0.0,2024-04-17,118.39612938094363,0.0,-39.00449745601975,-0.04678369799571601,Long,Closed,69,trailing_sma
321,RTX,12.8709231379232,2024-03-22,90.68383011006836,0.0,2024-06-24,102.3139751629312,0.0,149.6907030582954,0.12824938071921582,Long,Closed,321,trailing_sma
401,VZ,31.073085705932588,2024-04-02,36.55390334428865,0.0,2024-04-12,35.24889952626766,0.0,-40.55049548393549,-0.03570080616916908,Long,Closed,401,trailing_sma
332,XOM,12.8680337791092,2024-04-02,110.33567666602816,0.0,2024-05-22,110.6872300581759,0.0,4.523800925317573,0.0031862168499845176,Long,Closed,332,trailing_sma
202,AXP,26.032097702893534,2024-04-19,214.25495878447973,0.0,2024-06-11,226.56010067482808,0.0,320.3286559375165,0.05743223848894051,Long,Closed,202,trailing_sma
187,GS,10.33565101350434,2024-04-23,400.5993602886571,0.0,2024-08-05,431.4214807753129,0.0,318.56668084625653,0.07694001424377334,Long,Closed,187,trailing_sma
174,BAC,142.85672513503144,2024-04-23,36.22908879738595,0.0,2024-07-31,39.57059879234124,0.0,477.35717488528826,0.09223279154612335,Long,Closed,174,trailing_sma
339,CVX,22.29668111124273,2024-04-24,148.55861869375323,0.0,2024-05-22,147.7233060826626,0.0,-18.624698917687965,-0.005622781218857578,Long,Closed,339,trailing_sma
379,SO,38.9039292728617,2024-04-24,68.11371929265627,0.0,2024-07-01,73.65225434230788,0.0,215.4707758469117,0.08131306155599621,Long,Closed,379,trailing_sma
317,LMT,5.428070058597544,2024-04-25,434.5970417906821,0.0,2024-05-29,432.2949714234461,0.0,-12.495799233178332,-0.005297022634463196,Long,Closed,317,trailing_sma
21,GOOGL,10.907067413935993,2024-04-26,173.02712823319942,0.0,2024-07-18,180.5554369827528,0.0,82.11177104430294,0.043509412809574086,Long,Closed,21,trailing_sma
